Telescope,Aperture,Focal length
Orion ODK12,2040,304.8
Orion ODK14,2380,355.6
Orion ODK16,2720,406.4
Orion OMC140,2000,140
Orion OMC200,4000,200
Orion OMC250,2250,250
Orion OMC300,2700,300
Orion Premium ED 110,770,110
Orion SkyQuest XT4.5,910,200
Orion SkyQuest XT6,1200,152.4
Orion SkyQuest XT8,1200,203.2
Orion SkyQuest XT10,1200,254
Orion SkyQuest XX12i,1500,304.8
Orion Skyview Deluxe 8",800,203.2
Orion SkyView Pro 8",1000,203.2
Orion SPX 200 f4.5,900,200
Orion SPX 200 f6,1200,200
Orion SPX 200 f8,1600,200
Orion SPX 250 f4.8,1200,250
Orion SPX 250 f6.3,1600,250
Orion SPX 300 f4,1200,300
Orion SPX 300 f5.3,1600,300
Orion SPX 350 f4.6,1600,350
Orion ST80,400,80
Orion StarBlast 4.5,450,114.3
Orion StarBlast 6,750,152.4
Orion Starmax 90mm,1250,90
Orion VX10L,1600,254
Pentaflex 60/700,700,60
Pentax 75 SDHF,500,75
PlaneWave 12.5 CDK,2541,317.5
PlaneWave CDK 20,3454,508
Robtics 102 mm ED APO,714,102
Sigma 500mm F4.5,500,111
Sky-Watcher Astrolux,700,76
Sky-Watcher BlackDiamond ED80,600,80
Sky-Watcher BlackDiamond ED100,900,100
Sky-Watcher BlackDiamond ED120,900,120
Sky-Watcher Capricorn-70,900,70
Sky-Watcher Equinox-66 Pro,400,66
Sky-Watcher Equinox-80 Pro,500,80
Sky-Watcher Equinox-120 APO,900,120
Sky-Watcher Esprit-120ED,840,120
Sky-Watcher Evostar-80,900,80
Sky-Watcher Evostar-80ED Pro,600,80
Sky-Watcher Evostar-90,900,90
Sky-Watcher Evostar-100ED Pro,900,100
Sky-Watcher Evostar-102,1000,102
Sky-Watcher Evostar-120,1000,120
Sky-Watcher Evostar-120ED Pro,900,120
Sky-Watcher Evostar-150,1200,150
Sky-Watcher Explorer-130P,650,130
Sky-Watcher Explorer-130pm,650,130
Sky-Watcher Explorer-150P,750,150
Sky-Watcher Explorer-150PDS,750,150
Sky-Watcher Explorer-150PL,1200,150
Sky-Watcher Explorer-190MN Pro,1000,190
Sky-Watcher Explorer-200,1000,200
Sky-Watcher Explorer-250PX,1200,250
Sky-Watcher Explorer-300PDS,1500,300
Sky-Watcher Heritage 76,300,76
Sky-Watcher Heritage P130,650,130
Sky-Watcher Mercury-607,700,60
Sky-Watcher Mercury-609,900,60
Sky-Watcher Mercury-705,500,70
Sky-Watcher Mercury-707,700,70
Sky-Watcher Quattro 8",800,203.2
Sky-Watcher Quattro 10",1000,254
Sky-Watcher Skyhawk-1145pm,500,114
Sky-Watcher Skyliner 350P,1700,350
Sky-Watcher Skyliner 400P,1800,400
Sky-Watcher Skyliner-150,1200,150
Sky-Watcher Skyliner-200,1200,200
Sky-Watcher Skyliner-250PX,1200,250
Sky-Watcher Skyliner-300P,1500,300
Sky-Watcher Skymax-40,1000,80
Sky-Watcher Skymax-90,1250,90
Sky-Watcher Skymax-102,1300,102
Sky-Watcher Skymax-127,1500,127
Sky-Watcher Skymax-150 Pro,1800,150
Sky-Watcher Skymax-180 Pro,2700,180
Sky-Watcher Startravel-80,400,80
Sky-Watcher Startravel-102,500,102
Sky-Watcher Startravel-120,600,120
Sky-Watcher Startravel-150,750,150
StarNavigator 102 MEADE,800,102
Stellarvue 70ED,420,70
Stellarvue 80ED,560,80
Stellarvue 102ED,710,102
StellarVue 105T,735,105
Stellarvue SV50ED,330,50
Stellarvue SV90T,630,90
Stellarvue SV115T,800,115
StellarVue SVR105,735,105
STF Mirage 7",1800,177.8
Takahashi Epsilon 180ED,500,180
Takahashi FC100,800,100
Takahashi FS-60C,355,60
Takahashi FS-78,630,78
Takahashi FS-102,820,102
Takahashi FSQ-85ED,450,85
Takahashi FSQ-106ED,530,106
Takahashi Mewlon-210,2415,210
Takahashi Mewlon-250,3000,250
Takahashi Mewlon-300,3572,300
Takahashi Sky-90,500,90
Takahashi TOA-130,1000,130
Takahashi TOA-150,1100,150
Takahashi TSA-102,816,102
Takahashi TSA-120,900,120
TAL125R,1124,125
TAL 100-RS,1000,100
TAL 200K,2000,200
TAL 250K,2130,250
TAL-1,800,110
TAL-2,1200,152
TEC APO140ED,980,140
Tele Vue-60,360,60
Tele Vue-76,480,76
Tele Vue-85,600,85
Tele Vue-102,880,102
Tele Vue-127,660,127
Tele Vue-NP101,540,101
Tele Vue-NP127,660,127
TMB 92-SS,506,92
TMB 105/650,650,105
TMB 130 ss,910,130
TMB 203/1420,1420,203
TMB-80 SS,504,80
Vixen 108DED,540,108
Vixen A80Mf,910,80
Vixen A80SSWT,400,80
Vixen AL70LF,900,70
Vixen AX103S ED,825,103
Vixen ED80SF,600,80
Vixen ED81S,625,81
Vixen ED103S,795,103
Vixen ED115S,890,115
Vixen MC90L,1200,90
Vixen NA140SSf,800,140
Vixen R130S,650,130
Vixen R150S,750,150
Vixen R200SS,800,200
Vixen VC200L,1800,200
Vixen VMC95L,1045,95
Vixen VMC110L,1035,110
Vixen VMC200L,1950,200
Vixen VMC260L,2990,260
Vixen VMC330L,4300,330
William Optics FLT 98 APO Triplet,618,98
William Optics FLT 110 APO Triplet,770,110
William Optics FLT 132 APO Triplet,925,132
William Optics GT 81 FD,478,81
William Optics GTF 81,478,81
William Optics Megrez 72 Doublet APO,432,72
William Optics Megrez 80 APO,480,80
William Optics Megrez 80II,545,80
William Optics Megrez 88,498,88
William Optics Megrez 90 APO,621,90
William Optics Megrez 110 ED APO,655,110
William Optics Megrez 120,900,120
William Optics ZenithStar 66 SD,388,66
William Optics ZenithStar 70,430,70
William Optics Zenithstar 80 Fluorite,555,80
William Optics ZenithStar 80II ED APO,545,80
William Optics Zenithstar 110,770,110
Zhumell Z12,1500,304.8
Telescope: Sky-Watcher Explorer-150PDS
